answer,answer_index,cluster,cluster_index,first,label,label_index
http://www.iqtree.org/doc/Advanced-Tutorial#partitioned-analysis-for-multi-gene-alignments,1.0,Advanced tutorial,1.0,If you used partition model in a publication please cite:,Partitioned analysis for multi-gene alignments,1.0
http://www.iqtree.org/doc/Advanced-Tutorial#partitioned-analysis-with-mixed-data,2.0,Advanced tutorial,1.0,"IQ-TREE also allows combining sub-alignments from different alignment files, which is helpful if you want to combine mixed data (e.g. DNA and protein) in a single analysis. Here is an example for mixing DNA, protein and codon models:",Partitioned analysis with mixed data,2.0
http://www.iqtree.org/doc/Advanced-Tutorial#choosing-the-right-partitioning-scheme,3.0,Advanced tutorial,1.0,"ModelFinder implements a greedy strategy (Lanfear et al., 2012) that starts with the full partition model and subsequentially merges two genes until the model fit does not increase any further:",Choosing the right partitioning scheme,3.0
http://www.iqtree.org/doc/Advanced-Tutorial#ultrafast-bootstrapping-with-partition-model,4.0,Advanced tutorial,1.0,"IQ-TREE can perform the ultrafast bootstrap with partition models by e.g.,",Ultrafast bootstrapping with partition model,4.0
http://www.iqtree.org/doc/Advanced-Tutorial#constrained-tree-search,5.0,Advanced tutorial,1.0,"IQ-TREE supports constrained tree search via -g option, so that the resulting tree must obey a constraint tree topology. The constraint tree can be multifurcating and need not to contain all species. To illustrate, let’s return to the first running example, where we want to force Human grouping with Seal whereas Cow with Whale. If you use the following constraint tree (NEWICK format):",Constrained tree search,5.0
http://www.iqtree.org/doc/Advanced-Tutorial#tree-topology-tests,6.0,Advanced tutorial,1.0,IQ-TREE can compute log-likelihoods of a set of trees passed via the -z option:,Tree topology tests,6.0
http://www.iqtree.org/doc/Advanced-Tutorial#testing-constrained-tree,7.0,Advanced tutorial,1.0,"We now illustrate an example to use the AU test (see above) to test trees from unconstrained versus constrained search, which is helpful to know if a constrained search is sensible or not. Thus:",Testing constrained tree,7.0
http://www.iqtree.org/doc/Advanced-Tutorial#consensus-construction-and-bootstrap-value-assignment,8.0,Advanced tutorial,1.0,"IQ-TREE can construct an extended majority-rule consensus tree from a set of trees written in NEWICK or NEXUS format (e.g., produced by MrBayes):",Consensus construction and bootstrap value assignment,8.0
http://www.iqtree.org/doc/Advanced-Tutorial#user-defined-substitution-models,9.0,Advanced tutorial,1.0,"Users can specify any DNA model using a 6-letter code that defines which rates should be equal. For example, 010010 corresponds to the HKY model and 012345 to the GTR model. In fact, IQ-TREE uses this specification internally to simplify the coding. The 6-letter code is specified via the -m option, e.g.:",User-defined substitution models,9.0
http://www.iqtree.org/doc/Advanced-Tutorial#inferring-site-specific-rates,10.0,Advanced tutorial,1.0,"IQ-TREE allows to infer site-specific evolutionary rates if a site-rate heterogeneity model such as Gamma or FreeRate is the best model. Here, IQ-TREE will estimate model parameters and then apply an empirical Bayesian approach to assign site-rates as the mean over rate categories, weighted by the posterior probability of the site falling into each category. This approach is provided in IQ-TREE because such empirical Bayesian approach was shown to be most accurate (Mayrose et al., 2004). An example run:",Inferring site-specific rates,10.0
